x,y,token
-13.05744743347168,-48.45846939086914,bracelets
-34.30662155151367,15.693257331848145,speak
0.09460607171058655,37.08746337890625,considerate
28.234352111816406,34.12056350708008,amendment
4.219817638397217,1.6953164339065552,vice
-25.169538497924805,26.952707290649414,restrain
-25.24718475341797,-16.718332290649414,shield
-2.9489710330963135,23.874195098876953,raspberries
28.794784545898438,35.53791427612305,surprise
-13.64122200012207,-3.6226634979248047,raised
17.042322158813477,-15.634835243225098,atmosphere
-21.143009185791016,-32.381019592285156,blood
-8.697284698486328,43.08150100708008,hesitate
41.722686767578125,14.652379989624023,insulted
37.04492950439453,-21.651281356811523,stagger
16.550945281982422,18.585559844970703,vague
49.59857177734375,-3.603646755218506,cow
19.420814514160156,8.082711219787598,announcement
30.305540084838867,-13.995125770568848,advanced
-45.679786682128906,9.374558448791504,neighbour
2.868920087814331,-3.161365509033203,forlorn
35.314029693603516,-16.224355697631836,sucking
25.79076385498047,13.822877883911133,same
-23.36977195739746,7.353335857391357,prosperity
18.268020629882812,14.540895462036133,position
-15.078253746032715,-46.203712463378906,raiment
-8.687332153320312,3.3060033321380615,hateful
-5.765455722808838,42.03059768676758,ill
-14.835360527038574,1.9495952129364014,fraud
10.483200073242188,-35.86776351928711,gliding
21.8647403717041,-0.3691309988498688,pilgrim
11.310431480407715,-14.291929244995117,deepest
54.38319396972656,9.638290405273438,duchess
33.65798568725586,-10.09096622467041,found
-25.006399154663086,32.936038970947266,you
-35.16905975341797,-4.490292549133301,wherein
-38.30723190307617,-5.430184841156006,foundation
19.043781280517578,2.069533109664917,sperm
-2.098276138305664,-41.46059036254883,grass
26.538293838500977,-2.708879232406616,por
-42.5987434387207,-27.022314071655273,tarried
1.0565108060836792,40.4289665222168,undoubtedly
40.421905517578125,-10.974761009216309,harsh
16.288972854614258,-29.966699600219727,pent
47.488380432128906,18.09646987915039,";"""
37.46725845336914,-2.386129140853882,it
-42.615413665771484,-19.301279067993164,murmured
-16.533220291137695,-35.18599319458008,swine
30.47188949584961,10.273702621459961,leak
-11.411543846130371,-27.37980079650879,handfuls
4.603123664855957,-33.51691436767578,planets
24.09174919128418,1.8738421201705933,iii
21.051010131835938,31.0181827545166,previous
53.673492431640625,11.603464126586914,news
-21.83538246154785,-32.856422424316406,raw
0.6758095026016235,-8.725765228271484,conflict
16.361305236816406,18.9425106048584,unaccountable
46.397430419921875,4.911208152770996,muscari
31.727689743041992,-31.599489212036133,around
17.411090850830078,17.22909164428711,unconsciously
42.858970642089844,-25.95582389831543,gun
-22.2623348236084,-51.174095153808594,spoon
-39.6142463684082,-4.781612396240234,record
24.80161476135254,-30.166126251220703,thickly
-3.9655959606170654,25.8605899810791,convert
-34.50035858154297,19.79904556274414,borrow
32.83740234375,0.9375265836715698,swearing
-29.705835342407227,-13.812640190124512,scourge
22.705944061279297,-42.45907974243164,crash
20.54078483581543,-31.023813247680664,stands
-37.77733612060547,6.676496505737305,dealeth
30.55014419555664,52.5114631652832,harville
-27.972896575927734,8.026579856872559,tribulation
-49.95785903930664,4.703207969665527,guide
11.115579605102539,-8.061577796936035,foreign
11.871652603149414,-48.092342376708984,daylight
-23.049968719482422,-50.6872673034668,mingled
7.223489284515381,-11.615058898925781,planet
58.96991729736328,4.211410999298096,didn_t
-43.51071548461914,35.29875946044922,yong
16.61919593811035,49.7003059387207,coldness
52.22528076171875,-11.514847755432129,post
-42.73497009277344,-17.944948196411133,privately
11.306973457336426,-21.716230392456055,track
2.260632038116455,40.7967643737793,valued
-5.96746826171875,-42.984283447265625,vines
-56.17422103881836,-15.07775592803955,abel
23.08656120300293,-41.03361129760742,flash
23.837358474731445,-32.75083923339844,barrels
34.987213134765625,-16.432682037353516,groaned
-33.27223205566406,12.134748458862305,profitable
51.20482635498047,18.501646041870117,patty
5.192997932434082,-48.095375061035156,seas
-13.373772621154785,5.810309410095215,celebrate
-23.002410888671875,13.937061309814453,delight
51.02614974975586,19.234119415283203,interrupted
-7.1967620849609375,11.184821128845215,equalled
-17.80329132080078,-27.432035446166992,snares
4.3794755935668945,-22.224090576171875,musing
54.88996505737305,7.721675872802734,mouse
33.38759994506836,32.1170768737793,attitude
30.025726318359375,12.604291915893555,arrest
48.13356018066406,22.780864715576172,bustle
-40.672325134277344,-1.8376480340957642,heritage
-33.491294860839844,5.876788139343262,trespasses
-30.161840438842773,-30.848573684692383,inheritance
23.267635345458984,-15.607189178466797,sinking
0.6781495213508606,-29.758697509765625,drops
15.165226936340332,-29.2822322845459,battering
-32.652347564697266,28.518268585205078,conquest
37.77239227294922,26.133743286132812,harris
38.40340042114258,-18.866050720214844,librarian
-3.106696844100952,-24.075153350830078,spears
28.293180465698242,-31.780559539794922,parchment
-36.784244537353516,4.000799655914307,cursing
-7.739375114440918,-35.953765869140625,wither
-2.678997039794922,-19.63214111328125,archers
-44.87800598144531,-21.489660263061523,herod
24.656848907470703,5.893954753875732,cigars
47.6047477722168,-27.098173141479492,leapt
-1.172659158706665,55.99895477294922,obliged
44.35899353027344,-31.0500431060791,canoe
26.74782943725586,55.180912017822266,elinor
-38.39348220825195,3.1783854961395264,hath
22.86544418334961,47.87336349487305,proposal
6.919146537780762,24.164297103881836,action
-18.746501922607422,40.63339614868164,manage
28.3797607421875,14.663082122802734,pretending
21.53101921081543,-46.91228103637695,colours
20.89030647277832,5.1306867599487305,chart
-4.9390692710876465,22.59153175354004,author
23.1607723236084,47.71009826660156,pianoforte
37.77301788330078,-38.011104583740234,extending
33.62792205810547,8.263742446899414,spoiling
